movie_id;movie_slug;title;production_year;release_year;genre;duration_min;coproduction_country;status;director;screenplay_author;production_company;short_synopsis;synopsis_source;approx_budget;original_language
MOV-0001;DO-2018-inesperadamente-lucia;Inesperadamente Lucia;2018;;comedy;95;DO;in_production;Carlos Waddis Jáquez;Alejandro Andújar|Ettore Trombin;Yuquita Films, SRL;Luca y Javier, dos amigos extranjeros viven en un pequeño y encantador pueblo playero de la República Dominicana donde han encontrado un lugar que les permite mantenerse alejados de su oscuro pasado, tratando de ser felices. Cuando Lucía Flores, una poderosa empresaria mexicana, acompañada de su excéntrica madre, pone sus ojos en ese lugar para construir un hotel de lujo, se rompe la armonía de todo el pueblo. Así como entre Luca y Javier.;imdb;65546366;spanish
MOV-0002;DO-2020-tumba-y-quema;Tumba y Quema;2020;2023;documentary;90;DO;released;José María Cabral González;José María Cabral González;Grupo Trukemer, SRL;Un documental sobre la deforestación dentro de parques nacionales en la República Dominicana.;imdb;37538231;spanish
MOV-0003;DO-2019-1979;1979;2019;;drama;85;DO;unknown;Ronni Oscar Castillo Alcántara;Emmanuel De Jesús Galán De León;Pilón Productions, SRL;;pending;39534545.97;spanish
MOV-0004;DO-2019-atravesando-el-jordan;Atravesando El Jordán;2019;2020;drama;85;DO;released;Alan Augusto Nadal Piantini;Alan Augusto Nadal Piantini;Pilón Productions, SRL;Jordan, un adolescente amante del baloncesto atrapado en vicios y malas influencias, conoce a Don Roberto, quien lo entrenará no solo en básquetbol, sino espiritualmente también.;imdb;26073164.47;spanish
MOV-0005;DO-2020-20-billones;20 Billones;2020;;documentary;90;DO;unknown;Oliver Ernesto Olivo Batista;Enrique Darwin Caraballo Beloso;Educa Films, SRL;;pending;61809568.05;spanish
MOV-0006;DO-2020-100-anos-en-movimiento;100 Años En Movimiento;2020;2023;documentary;90;DO;released;Andrés Curbelo Baccino;Andrés Curbelo Baccino;Cacique Productions, SRL;Una visión reveladora que muestra la realidad sobre la situación de la movilidad en el Gran Santo Domingo.;cinemadominicano;45068242;spanish
MOV-0007;DO-2020-aventura-historica;Aventura Histórica;2020;2024;sci-fi;100;DO;released;Luis Carlos Llosa Urquidi;Luis Carlos Llosa Urquidi|Pablo Ricardo Vazquez Flores;Aventura Histórica Films, SRL;;pending;99456916;spanish
MOV-0008;DO-2019-bantu-mama;Bantu Mama;2019;2022;drama;86;DO;released;Iván Herrera Beato;Iván Herrera Beato|Clarisse Michelle Albrecht;Point Barre, SRL;Una francesa de origen africano logra escapar después de haber sido detenida en la República Dominicana. Se refugia en el barrio mas peligroso de Santo Domingo (Capotillo), donde es recogida por un grupo de niños. Al convertirse en su protegida y figura materna, verá su destino cambiar de manera inexorable.;filmaffinity;49896389;spanish
MOV-0009;DO-2019-con-un-pie-aqui-y-el-otro-alla;Con Un Pie Aquí y El Otro Allá;2019;;documentary;90;DO;in_production;Hans Christians García García;Hans Christians García García;Hannah Films, SRL;;pending;41279417.81;spanish
MOV-0010;DO-2020-cuarencena;Cuarencena;2020;2023;comedy;121;DO;released;David Emmanuel Maler Baquero;David Emmanuel Maler Baquero;Producciones Guayacanes 005, SRL;La armonía se desmorona entre 7 amigos en una cena privada durante el confinamiento por la pandemia.;filmaffinity;76901622;spanish
MOV-0011;DO-2021-cuentos-de-azucar-y-trigo;Cuentos De Azúcar Y Trigo;2021;;documentary;90;DO;unknown;David Pagán Mariñez;José Ramón Alamá Núñez;Godraniss Group, SRL;;pending;39947444;spanish
MOV-0012;DO-2019-donde-me-lleves;Donde Me Lleves;2019;;drama;90;DO;in_festivals;Lisbet Margarita Plata Parra;Lisbet Margarita Plata Parra;Nimita Productions, SRL;;pending;30483298;spanish
MOV-0013;DO-2021-el-fotografo-de-la-40;El Fotógrafo De La 40;2021;2024;documentary;75;DO;released;Orlando Barría|Erika Santelises;Orlando Barría|Erika Santelises;Yohima, SRL;Se cuenta la historia del desconocido héroe dominicano Pedro Aníbal Fuentes Berg, quien reveló fotografías de presos torturados en la principal cárcel clandestina de la dictadura de Rafael Trujillo.;imdb;39755731;spanish
MOV-0014;DO-2019-el-plan;El Plan;2019;2023;drama|action;90;DO;released;Robert Antonio Cornelio Torres;Robert Antonio Cornelio Torres;Joyadise, SRL;Tres niños de la calle crecieron en el mismo barrio, intentando ganarse la vida. La misteriosa aparición de un camión blindado cambiará para siempre la vida de estos jóvenes, quienes, ya adultos, buscarán venganza contra los responsables de su tragedia.;imdb;13867200;spanish
MOV-0015;DO-2019-el-unicornio-rosado;El Unicornio Rosado;2019;2022;action;85;DO;released;Tabaré De Jesús Blanchard Alburquerque;Félix Amado Rosario Viñals|Ramón Isaac Saviñón Rodríguez;Rulin Films, SRL;La vida de uno de los hackers más renombrados del mundo corre peligro después de que desarrollara una aplicación capaz de hackear cualquier cuenta de redes sociales y obtener cualquier información utilizando tan solo un número de teléfono.;imdb;80316291.18;spanish
MOV-0016;DO-2018-en-legitima-defensa;En Legítima Defensa;2018;;drama;100;ES;unknown;Judith Colell Pallares;Rafael José Vargas Molina|Greniffer Geraldine Nuñez Santos|Sterlyn Ramírez Hernández De García;Selene Films Management, SRL;;pending;76534392;spanish
MOV-0017;DO-2018-inframundo;Inframundo;2018;2022;thriller;90;DO;released;José Desiderio Gómez De Vargas;Arturo Enrique Arango Arias;Inframundo Films, SRL;Luego de la desaparición de su esposa e hija, Tomas García, un escéptico investigador policial, seguirá una pista que lo llevará hasta un centro geriátrico en las afueras de la ciudad, allí encontrará resistencia en ATABEY, una enfermera que busca proteger una antigua leyenda Taína.;cinemadominicano;63021631;spanish
MOV-0018;DO-2020-islenos;Isleños;2020;2024;thriller;90;DO;released;Héctor Manuel Valdez Martínez;Héctor Manuel Valdez Martínez;Ingenio Lateral, SRL;Tras naufragar en una isla desierta durante un viaje en yola desde la República Dominicana a Puerto Rico, un hombre se enfrenta a la soledad y la lucha por la supervivencia. Sin embargo, un encuentro inesperado le obligará a decidir entre regresar al mundo exterior o quedarse en la isla;filmaffinity;69068762;spanish
MOV-0019;DO-2020-la-broma-de-la-justicia;La Broma De La Justicia;2020;2022;drama;90;DO;released;Kendry Jassel Vicente González;Sara Morbidi|Emmanuel De Jesús Galán De León;Producciones Cohoba Films, SRL;A young lawyer faces danger trying to find evidence against a corrupt politician.;pending;46277095.04;spanish
MOV-0020;DO-2019-la-bruja;La Bruja;2019;2021;thriller;85;DO;released;Ronny Alexander Sosa González;Ronny Alexander Sosa González;Fénix Legendario Studios, SRL;Hace 40 años, un hombre hizo un pacto con una bruja a cambio de la vida de su nieta cuando esta cumpliera 15 años. Ahora ha llegado el momento, y la familia debe luchar.;imdb;63871098.26;spanish
MOV-0021;DO-2019-la-segunda-hija;La Segunda Hija;2019;2023;drama;113;DO;released;Ulises Porra Guardiola|Silvina Schnicer;Rosa Julia Prida Perdomo;Wooden Boat Productions, SRL;Sara y su niñera Yarisa mantienen una relación que parece trascender sus condiciones de clase: son lo más parecido a una hija-madre, pero un accidente pondrá a prueba su íntima lealtad y la inocente ilusión de que nada puede separarlas;imdb;65586542;spanish
MOV-0022;DO-2020-la-vida-de-los-reyes;La Vida De Los Reyes;2020;2021;comedy;95;DO;released;Francisco Ernesto Perozo Balbuena;Felix Amado Rosario Viñals|David Emmanuel Maler Baquero;Retiro Films, SRL;Se centra en la vida y la carrera del dúo cómico dominicano formado por Raymond Pozo y Miguel Céspedes;filmaffinity;79994884;spanish
MOV-0023;DO-2020-lemonade;Lemonade;2020;;comedy;80;DO;unreleased;Alan Augusto Nadal Piantini;Félix Amado Rosario Viñals;Pilón Productions, SRL;Una pareja va a una villa vacacional con sus padres para planear su boda, y luego beben una limonada adulterada con drogas psicotrópicas que encontraron en el refrigerador.;imdb;38531264.8;spanish
MOV-0024;DO-2020-libelula;Libélula;2020;2025;thriller;90;DO;released;Ronni Oscar Castillo Alcántara;Félix Amado Rosario Viñals|Ronni Oscar Castillo Alcántara;Milbo Productions, SRL;En el vibrante Nueva York de los años ochenta, María, un emblema de la diáspora latinoamericana, ve su vida transformada cuando recibe la visita de un misterioso personaje que conoce cada secreto de su pasado. En el oscuro sótano que ha llamado hogar durante años, confiesa las razones que la han mantenido atada a la penumbra. La película desentraña una historia de amor, pérdida y redención, entrelazando los hilos entre los sueños de oportunidad y las sombras del ayer.;filmaffinity;51936880.64;spanish
MOV-0025;DO-2020-los-presidentes-dominicanos;Los Presidentes Dominicanos;2020;2021;documentary;70;DO;released;Máximo Ramón Euripides Cabral Jiménez;Máximo Ramón Euripides Cabral Jiménez;Zinemapar, SRL;Docudrama sobre el repaso histórico de todos los presidentes que comprenden la historia republicana de la República Dominicana desde 1844 hasta 1966;cinemadominicano;13337361.93;spanish
MOV-0026;DO-2019-maboya;Maboya;2019;;thriller;80;DO;unreleased;Felipe Eduardo De Jesús Esteban Morales;Felipe Eduardo De Jesús Esteban Morales;Cariboo Productions, SRL;;pending;47159368.34;spanish
MOV-0027;DO-2020-noche-de-penthouse;Noche De Penthouse;2020;;documentary;90;MX|AR;released;Juan José Cid Fernández;Juan José Cid Fernández;Kradix, SRL;En las afueras de Santo Domingo, lejos de una represiva sociedad de los 80, una familia nació de un grupo de «queers» que crearon un refugio seguro en lo que se convirtió en el ahora olvidado club nocturno Penthouse. Durante esta reunión familiar, los miembros restantes vuelven a visitar el ascenso y caída de la catedral de las discotecas gay en la República Dominicana, que cerró sus puertas en 1998;programaibermedia;23797954.91;spanish
MOV-0028;DO-2019-pelota-invernal;Pelota Invernal;2019;;drama;120;DO;unknown;Gardner Carlile Hall;Gardner Carlile Hall;Point 13 Productions, SRL;;pending;93704969;spanish
MOV-0029;DO-2018-sin-palabras;Sin Palabras;2018;;drama;90;DO;unknown;Benito Zambrano;Reyvin Jaquez Grullón|Jalsen Antonio Santana Morel;Frontera Films, SRL;;pending;63428501.09;spanish
MOV-0030;DO-2019-sunshine;Sunshine;2019;;drama;75;DO;unknown;Juan Antonio Bisonó Pacheco;Juan Antonio Bisonó Pacheco;Bacanarama Producciones, SRL;;pending;69841215;spanish
MOV-0031;DO-2021-aire;Aire;2021;2024;sci-fi|romance;90;DO;released;Claudia Leticia Tonos Paniagua;Feliz Amado Rosario Viñals|Claudia Leticia Tonos Paniagua;Producciones Línea Espiral, SRL;Tania es una bióloga conservacionista que vive en un futuro distópico en el que la raza humana se está extinguiendo por la contaminación y las enfermedades. En un esfuerzo por evitar la extinción de su especie, intenta autoinseminarse con la ayuda de Vida, un sistema de inteligencia artificial.;filmaffinity;94650938;spanish
MOV-0032;DO-2019-artesanos;Artesanos;2019;2025;documentary;90;DO;released;Eleuterio Silverio;Miguel Ángel Magallanes;La Flor De Auyama Films, SRL;Este documental nos llevará a un emocionante viaje por la historia detrás de las manos que crean las hermosas obras de artesanía dominicana, piezas que han ganado reconocimiento tanto a nivel nacional como internacional.;filmaffinity;27123039.74;spanish
MOV-0033;DO-2020-beltre-camino-a-cooperstown;Beltré: Camino A Cooperstown;2020;;documentary;70;DO;unreleased;Abinadab Alberto Reyes;Abinadab Alberto Reyes;Dukesa Films, SRL;"El documental narra la emocionante e inspiradora historia de Adrián Beltre, el
famoso pelotero dominicano que consiguió llegar a las Grandes Ligas. Nos
sumerge en los orígenes del protagonista, un joven que con tan sólo 15 años ya
destacaba por su increíble forma de jugar y en el camino que tuvo que recorrer
para cumplir su sueño. Un camino lleno de obstáculos a los que tuvo que
enfrentarse para llegar a ser uno de los mejores deportistas dominicanos y futuro
miembro del Salón de la Fama.";youtube;34282193.59;spanish
MOV-0034;DO-2021-boca-chica;Boca Chica;2021;2024;drama;90;DO;released;Gabriella Moses;María Teresa Ugas Castro|María Josefina Rondón García;Selene Films Management, SRL;Desi pasa los días en las playas de su ciudad natal, soñando con convertirse en una cantante famosa, pero su objetivo se ve amenazado por mentiras, prostitución infantil y una siniestra traición de quienes más deberían protegerla.;filmaffinity;59999651.35;spanish
MOV-0035;DO-2021-books-and-drinks;Books And Drinks;2021;2025;comedy|romance;90;DO;released;Geoffrey Cowper;Pablo José Lozano Hernández;Kalidoscopic, SRL;David es el bohemio dueño de una librería de Brooklyn en bancarrota. Tras una visita inesperada de su madre, descubre que su padre ha muerto de un infarto, dejándole en herencia su casa en el Caribe. Raquel, su novia, insiste a David en que vuele a República Dominicana para vender la casa y así poder saldar las deudas y convertir su librería en el lugar que siempre ha soñado. María, una apasionada agente inmobiliaria, le ayudará en la gestión de la venta.;filmaffinity;73025653;spanish
MOV-0036;DO-2021-buscando-a-liborio;Buscando A Liborio;2021;2021;documentary;75;DO;released;Fernando Arturo Martínez Sosa;Fernando Arturo Martínez Sosa;Balsié Guanabana Macuto, SRL;Liborio desaparece de su casa en pleno huracán. Reaparece al cabo de unos días hablando como un profeta y curando a los enfermos. No tardan en surgirle seguidores que lo acompañan a vivir en las montañas de la República Dominicana. Cuando Estados Unidos envía un contingente del Cuerpo de Marines para restaurar el orden y la paz en el país, Liborio es visto como una amenaza.;filmaffinity;35817412.21;spanish
MOV-0037;DO-2021-butyto;Butyto;2021;;animation|fantasy;90;DO;in_production;Félix Ricardo Limardo Serrano;Francisco Alberto Montás Guzmán|Omar Dario Hauszler Sánchez;Dominican Nightscape, SRL;Un niño entabla amistad con un sabio búho ecologista que le ayuda a superar su miedo a la oscuridad presentándole a sus compañeros animales nocturnos y sus problemas con la contaminación lumínica.;imdb;66943888.5;spanish
MOV-0038;DO-2017-capitan-avispa;Capitán Avispa;2017;2024;animation;100;DO;released;Jean Gabriel Guerra Vega;Miguel Alfredo Yarull Sánchez|Juan Luis Guerra Seijas|Gustavo Alberto López Calderón;Guerra Toons, SRL;En Avispatropolis y en el Reino de la Miel viven en armonía en el panal protegidos por el Héroe de ambos, el Capitán Avispa, pero su archienemigo Avispón Jaques Poison y sus secuaces planean acabar con esa paz y apoderarse de ambas colonias. Está en las manos de este insecto defender a los suyos a toda costa, como siempre, con nobleza, justicia e inocencia.;filmaffinity;235856083;spanish
MOV-0039;DO-2018-carlota-la-mas-barrial;Carlota La Mas Barrial;2018;2025;comedy;80;DO;released;Yoel Morales;Carlos Ramón  Sánchez Fernández;Dukesa Films, SRL;Carlota, una mujer feroz con una sola ceja, una lengua rápida y un corazón intrépido, lidera a su vecindario en la resistencia a una banda que intenta apoderarse de él con violencia y miedo.;filmaffinity;62291006.33;spanish
MOV-0040;DO-2021-casa-llena;Casa Llena;2021;;comedy;90;DO;unknown;Francisco Ernesto Perozo Balbuena;Félix Amado Rosario Viñals;Oruga Films, SRL;;pending;84999494;spanish
MOV-0041;DO-2021-congo-pa-casimiro;Congo Pa Casimiro;2021;2025;documentary;75;DO;released;Francisco Mota Mota;Francisco Mota Mota;Yohima, SRL;Casimiro Minier, capitán de la Hermandad del Espíritu Santo de la República Dominicana, falleció a la edad de más de 100 años. Congo Pa' Casimiro narra la ceremonia en la que su alma pasa del mundo de las mentiras al mundo de la verdad.;imdb;35043587.56;spanish
MOV-0042;DO-2022-convivencia;Convivencia;2022;2023;drama;96;DO;released;José Gómez De Vargas;Tony Gómez Guzmán;Guasábara Cine, SRL;Después del asesinato de un residente de un antiguo condominio, una extensa investigación retiene a un grupo de siete locatarios en una sala de interrogatorios, todos ellos sospechosos de cometer el delito.;imdb;30291247.32;spanish
MOV-0043;DO-2021-cuentos-de-arroz-y-maiz;Cuentos De Arróz Y Maiz;2021;;documentary;80;DO;unknown;Héctor Manuel Valdez Martínez;Hector Manuel Valdéz Martínez;Ingenio Lateral, SRL;;pending;43485458;spanish
MOV-0044;DO-2020-cuentos-de-chocolate;Cuentos De Chocolate;2020;;documentary;75;DO;unknown;César Gilberto Amado López|José Ramón Alama Núñez ;Hector Manuel Valdéz Martínez|César Gilberto Amado López|José Ramón Alamá Núñez;Stone Productions, SRL;;pending;39418654;spanish
MOV-0045;DO-2019-danny-45;Danny 45;2019;2023;drama;108;DO;released;Gilberto Amable De La Rosa;Gilberto Amable De La Rosa;Manaya Films, SRL;Narra la vida de un temido delincuente abatido detrás de las rejas después de hacerse famoso por su prontuario delictivo que incluyó el asesinato de mas de diez personas dentro y fuera del penal.;filmaffinity;69398343.91;spanish
MOV-0046;DO-2021-desaparecido;Desaparecido;2021;2022;drama;97;DO;released;Roberto Ángel Salcedo Sanz;Roberto Ángel Salcedo Sanz;Miraxis Films, SRL;Manuel está en el punto de mira tras verse envuelto en una relación extramatrimonial, pero para sorpresa de sus amigos y enemigos, ha desaparecido.;filmaffinity;69962619.05;spanish
MOV-0047;DO-2021-detras-de-la-tormenta;Detras De La Tormenta;2021;;documentary;70;DO;unknown;Yoel Báez Morales;Cristian Manuel Mojica Espinal;Blind Eye Productions, SRL;;pending;24725750;spanish
MOV-0048;DO-2016-dominicanos-en-medio-oriente;Dominicanos En Medio Oriente;2016;;documentary;75;DO;unknown;Fernando Blanco;Fernando Blanco;F&B Films, SRL;;pending;13855529.74;spanish
